participant,group,path,total_trials,gw_baseline,gw_extra,gw_total,gwo_baseline,gwo_extra,gwo_total,hw_baseline,hw_extra,hw_total,hwo_baseline,hwo_extra,hwo_total,ugw_baseline,ugw_extra,ugw_total,ugwo_baseline,ugwo_extra,ugwo_total,uhw_baseline,uhw_extra,uhw_total,uhwo_baseline,uhwo_extra,uhwo_total,sw_baseline,sw_extra,sw_total,swo_baseline,swo_extra,swo_total,f_baseline,f_extra,f_total
Nine-0101-694,child-gl,data\raw\child-gl\Nine-months-0101-694gl.csv,11,1,3,4,3,2,5,3,0,3,4,7,11,1,5,6,3,1,4,3,1,4,2,3,5,3,2,5,3,0,3,1,2,3
Nine-0101-707,child-gl,data\raw\child-gl\Nine-months-0101-707gl.csv,6,1,2,3,3,0,3,3,0,3,4,2,6,1,2,3,3,0,3,3,0,3,2,1,3,3,0,3,3,0,3,1,2,3
Seven-0201-1152,child-gl,data\raw\child-gl\Seven-months-0201-1152lg.csv,13,1,10,11,3,4,7,3,5,8,4,9,13,1,4,5,3,1,4,3,2,5,2,4,6,3,1,4,3,3,6,1,2,3
Seven-0202-6362,child-gl,data\raw\child-gl\Seven-months-0202-6362lg.csv,6,1,2,3,3,1,4,3,1,4,4,2,6,1,2,3,3,0,3,3,0,3,2,1,3,3,0,3,3,0,3,1,2,3
Seven-0301-6399,child-gl,data\raw\child-gl\Seven-months-0301-6399lg.csv,8,1,6,7,3,1,4,3,2,5,4,4,8,1,3,4,3,1,4,3,0,3,2,1,3,3,0,3,3,2,5,1,4,5
Seven-0601-6417,child-gl,data\raw\child-gl\Seven-months-0601-6417lg.csv,10,1,5,6,3,2,5,3,1,4,4,6,10,1,4,5,3,0,3,3,1,4,2,1,3,3,1,4,3,1,4,1,2,3
Ten-0101-246,child-gl,data\raw\child-gl\Ten-months-0101-246lg.csv,4,1,3,4,3,0,3,3,0,3,4,0,4,1,2,3,3,0,3,3,0,3,2,0,2,3,0,3,3,0,3,1,0,1
Ten-0301-1158,child-gl,data\raw\child-gl\Ten-months-0301-1158lg.csv,15,1,4,5,3,3,6,3,5,8,4,4,8,1,5,6,3,4,7,3,12,15,2,4,6,3,0,3,3,2,5,1,2,3
Ten-0301-242,child-gl,data\raw\child-gl\Ten-months-0301-242lg.csv,6,1,3,4,3,0,3,3,0,3,4,2,6,1,4,5,3,2,5,3,2,5,2,1,3,3,0,3,3,1,4,1,2,3
Ten-0401-800,child-gl,data\raw\child-gl\Ten-months-0401-800lg.csv,9,1,6,7,3,1,4,3,0,3,4,3,7,1,3,4,3,6,9,3,1,4,2,6,8,3,0,3,3,1,4,1,2,3
Ten-0501-455,child-gl,data\raw\child-gl\Ten-months-0501-455lg.csv,6,1,3,4,3,0,3,3,0,3,4,2,6,1,2,3,3,1,4,3,0,3,2,2,4,3,0,3,3,0,3,1,2,3
Ten-0501-5669,child-gl,data\raw\child-gl\Ten-months-0501-5669lg.csv,8,1,2,3,3,2,5,3,2,5,4,2,6,1,7,8,3,3,6,3,2,5,2,1,3,3,3,6,3,2,5,1,2,3
Ten-0501-5753,child-gl,data\raw\child-gl\Ten-months-0501-5753lg.csv,11,1,4,5,3,2,5,3,4,7,4,7,11,1,2,3,3,2,5,3,0,3,2,3,5,3,6,9,3,1,4,1,2,3
Ten-0601-5737,child-gl,data\raw\child-gl\Ten-months-0601-5737lg.csv,9,1,2,3,3,2,5,3,0,3,4,5,9,1,4,5,3,0,3,3,0,3,2,1,3,3,1,4,3,3,6,1,5,6
Ten-0601-825,child-gl,data\raw\child-gl\Ten-months-0601-825lg.csv,7,1,2,3,3,0,3,3,0,3,4,2,6,1,3,4,3,0,3,3,0,3,2,5,7,3,1,4,3,0,3,1,2,3
Ten-0602-5894,child-gl,data\raw\child-gl\Ten-months-0602-5894lg.csv,9,1,3,4,3,1,4,3,0,3,4,5,9,1,2,3,3,2,5,3,1,4,2,1,3,3,0,3,3,1,4,1,3,4
Twelve-0101-1647,child-gl,data\raw\child-gl\Twelve-months-0101-1647lg.csv,14,1,2,3,3,0,3,3,1,4,4,10,14,1,7,8,3,5,8,3,0,3,2,1,3,3,0,3,3,0,3,1,2,3
Twelve-0101-1654,child-gl,data\raw\child-gl\Twelve-months-0101-1654lg.csv,9,1,2,3,3,0,3,3,0,3,4,5,9,1,2,3,3,6,9,3,0,3,2,2,4,3,0,3,3,0,3,1,2,3
